DefCluster,exp,ht,weight,mp,DRtg,DRB_per,blk_per,pfr,stl_per,dbpm,bpm,RFFinalPos_C,RFFinalPos_F,RFFinalPos_G,RFFinalPos_F-C,RFFinalPos_G-C,RFFinalPos_G-F,Cluster
1,1.615912858,76.44707554,200.6528534,29.63388859,104.4046886,12.86121241,1.058276107,3.015415581,1.807719631,-0.055118647,1.226475632,13,996,3025,8,0,181,1
2,1.434310532,76.49402823,198.9793702,26.20720831,101.7754615,13.215038,2.102660152,3.570792617,2.921932682,1.441701457,2.227615015,6,522,1229,5,1,79,2
3,0.511290323,73.33991935,182.508871,24.89226218,98.74923387,8.504596774,0.236814516,3.011814516,1.884677419,-0.767808842,-1.444470131,0,24,2437,0,1,18,3
4,1.390715667,80.83984526,231.7237911,24.08694352,104.9877369,18.57203095,6.595551257,4.617562863,1.43655706,1.511262768,1.86661736,517,1882,58,100,0,28,4
5,2.558074642,73.63829787,185.0296477,31.06408622,105.2766306,8.996058598,0.282525288,2.619358214,2.00415068,-0.452923298,0.848501078,0,32,2803,0,3,29,5
6,2.44654498,74.9351369,190.8797262,20.21502275,98.34074316,10.17904172,0.556290743,3.48119296,1.904726206,-0.488647709,-1.559149163,0,313,2631,1,1,122,6
7,0.364952381,76.00533333,196.3017143,16.91842396,94.30091429,10.72838095,0.90632381,3.866819048,1.840380952,-0.452884948,-2.433208269,5,553,1962,2,0,103,7
8,1.574815192,79.83252613,225.495794,16.45240558,98.34815192,15.69551364,3.228014275,5.364593423,1.405607953,0.073465617,-2.004887339,459,2859,357,126,1,121,8
9,2.716344331,79.40159272,223.6514979,27.61744111,105.7701176,18.03083049,2.757072431,3.948009101,1.689647327,0.387048362,1.58825144,164,1988,336,66,0,83,9
,,,,,,,,,,,,,,,,,,
Min,0.364952381,73.33991935,182.508871,16.45240558,94.30091429,8.504596774,0.236814516,2.619358214,1.405607953,-0.767808842,-2.433208269,0,24,58,0,0,18,
Min Cluster,7,3,3,8,7,3,3,5,8,3,7,3,3,4,3,1,3,
Max,2.716344331,80.83984526,231.7237911,31.06408622,105.7701176,18.57203095,6.595551257,5.364593423,2.921932682,1.511262768,2.227615015,517,2859,3025,126,3,181,
Max Cluster,9,4,4,5,9,4,4,8,2,4,2,4,8,1,8,5,1,
