OffCluster,exp,ht,weight,mp,ORtg,usg,eFG,ORB_per,AST_per,TO_per,TPA,TP_per,ftr,FT_per,close2att,close2_per,far2att,far2_per,dunkatt,dunk_per,obpm,bpm,RFFinalPos_C,RFFinalPos_F,RFFinalPos_G,RFFinalPos_F-C,RFFinalPos_G-C,RFFinalPos_G-F,OffCluster
1,1.339013778,77.55221175,205.5881073,18.66484456,97.29695431,17.6799855,47.98930384,5.63680203,10.87762872,20.84242204,41.66171139,0.303613125,38.84097172,0.658386149,46.60949964,0.595348622,35.96809282,0.323283061,4.38071066,0.951616062,-1.48175166,-1.280508612,70,1194,1354,6,2,132,1
2,1.853658537,79.89493433,227.4065041,26.48053602,106.7464665,22.31676048,53.68198874,9.99111945,9.630644153,17.73339587,11.07754847,0.176318324,47.2412758,0.649873671,136.1069418,0.664529081,101.1419637,0.367417261,24.46779237,0.924258849,1.369982537,2.221279387,192,1201,146,29,0,31,2
3,1.801825874,76.59585838,200.2291249,27.59088965,103.8954576,21.00768203,50.01064351,4.299487865,14.17339123,17.50509909,106.7439323,0.339676464,33.29485638,0.728158539,78.83188599,0.597599866,75.37675351,0.35272033,4.818525941,0.990260521,1.111467987,1.223614608,35,1221,3003,14,3,215,3
4,1.607023411,76.8690078,209.6008919,19.37528161,94.15696767,17.28617614,45.73467113,6.062653289,13.36599777,23.77090301,19.8238573,0.21567893,49.1851728,0.631443701,54.51950948,0.550090681,42.18060201,0.333689447,0.104793757,0.001226994,-2.664258794,-2.945887559,82,697,894,62,0,59,4
5,1.660922897,80.4614486,231.5432243,19.62812611,100.7710864,17.61726051,52.45394276,10.21571262,5.658995327,20.61212033,0.696553738,0,50.70443925,0.582118283,79.27891355,0.635367056,51.06191589,0.346779877,12.26839953,0.886715946,-1.727477674,-1.186439567,684,2461,68,174,1,36,5
6,1.362081426,74.61214165,189.2642737,19.48646948,97.64991568,16.47304264,47.45935919,2.613876174,13.44283305,20.15649241,76.87280173,0.336337509,25.66017827,0.717616478,26.30570947,0.520621723,27.96121417,0.321765156,0.042881233,0,-1.451302201,-2.019254209,2,415,3636,5,0,93,6
7,1.900461775,77.38429964,204.9425346,30.21369938,106.9867111,23.27183171,51.03488969,5.144022576,14.73576193,16.53591585,125.6639302,0.344915854,35.63724987,0.731594664,114.8394048,0.614958697,108.6721396,0.362783273,14.17496152,0.784561108,2.738225101,3.475657954,31,702,1155,1,0,60,7
8,1.86030205,73.65668824,185.6423948,30.27900901,103.7419094,21.36607335,48.98044768,2.257497303,19.41550701,18.15898058,134.6574973,0.355686354,32.7170712,0.768076591,69.850863,0.5320613,80.00458468,0.356045254,0.068230852,0,1.017418081,0.494919485,2,148,3505,2,1,50,8
9,1.638468013,77.86237374,210.0850168,24.63398674,102.0008418,20.60231481,49.99549663,6.384217172,11.26405724,18.38400673,65.16245791,0.365175505,37.92234848,0.685574916,85.0223064,0.606412753,68.74410774,0.343799958,12.03493266,0.763959764,0.369118504,0.721890258,66,1130,1077,15,0,88,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min,1.339013778,73.65668824,185.6423948,18.66484456,94.15696767,16.47304264,45.73467113,2.257497303,5.658995327,16.53591585,0.696553738,0,25.66017827,0.582118283,26.30570947,0.520621723,27.96121417,0.321765156,0.042881233,0,-2.664258794,-2.945887559,2,148,68,1,0,31,
Min Cluster,1,8,8,1,4,6,4,8,5,7,5,5,6,5,6,6,6,6,6,6,4,4,6,8,5,7,2,2,
Max,1.900461775,80.4614486,231.5432243,30.27900901,106.9867111,23.27183171,53.68198874,10.21571262,19.41550701,23.77090301,134.6574973,0.365175505,50.70443925,0.768076591,136.1069418,0.664529081,108.6721396,0.367417261,24.46779237,0.990260521,2.738225101,3.475657954,684,2461,3636,174,3,215,
Max Cluster,7,5,5,8,7,7,2,5,8,4,8,9,5,8,2,2,7,2,2,3,7,7,5,5,6,5,3,3,
